Wall time,Step,Value
1615999881.9358356,759,0.010771877132356167
1615999988.5033314,2013,0.008096717298030853
1616000039.713572,2629,0.008683307096362114
1616000039.7235458,2684,0.0003857545380014926
1616000078.200748,3058,0.004544017370790243
1616000228.8118255,5082,0.0011706665391102433
1616000279.1768522,5698,0.008456659503281116
1616000317.8991346,6127,0.0003953900304622948
1616000317.9160895,6204,0.0018895393004640937
1616000358.4856548,6677,0.014759724028408527
1616000370.9485552,6809,0.005398453678935766
1616000422.6999426,7480,0.01446602214127779
1616000497.5027177,8415,0.008238532580435276
1616000661.7959778,10472,0.005753265228122473
1616000911.4345236,13662,0.007338332943618298
1616000911.4434993,13706,0.005567663349211216
1616000949.273315,14190,0.0033166154753416777
1616000961.7070837,14256,0.0033203710336238146
1616000986.9495258,14707,0.0007920234347693622
1616001182.821679,17248,0.0015958683798089623
1616001219.3197794,17677,0.0019423142075538635
1616001219.3247657,17710,0.005187237169593573
1616001329.7132182,19107,0.0015282586682587862
1616001353.5674334,19514,0.007347114384174347
1616001452.834563,20691,0.005269515328109264
1616001577.2718916,22330,0.00525925075635314
1616001664.3624947,23408,0.0043456717394292355
1616001726.5263765,24222,0.01161533035337925
1616001801.0541325,25190,0.006459085736423731
1616001801.056127,25201,0.008451100438833237
1616001813.3392937,25311,0.012932497076690197
1616001952.8231435,27192,0.014568795450031757
1616002245.2771883,30723,0.009617522358894348
1616002404.0590441,32648,0.05093642324209213
1616002418.0576851,32802,0.0452834889292717
1616002471.8437893,33385,0.03053269349038601
1616002746.0935001,36509,0.0536770224571228
1616002746.1024778,36531,0.05038820579648018
1616002785.5671911,37037,0.042367272078990936
1616002836.9212573,37752,0.023830074816942215
1616002902.503799,38478,0.056631796061992645
1616002902.523746,38555,0.04106352478265762
1616003015.9463913,39897,0.04789610207080841
1616003295.9767406,43516,0.03486770763993263
1616003372.770592,44330,0.013803008012473583
1616003436.768001,45265,0.04658959060907364
1616003450.3565497,45430,0.03407742828130722
1616003595.8296654,47091,0.03930974751710892
1616003689.8344102,48213,0.0583481602370739
1616003828.9448173,50050,0.06133627891540527
1616003953.3053837,51689,0.04920520633459091
1616004128.9647105,53779,0.02303270623087883
1616004128.993634,53933,0.02856925129890442
1616004419.9951732,57574,0.05459306761622429
1616004494.414013,58410,0.053392957895994186
1616004531.9639337,58982,0.04514353722333908
1616004569.1623547,59400,0.038286320865154266
1616004630.1658788,60236,0.060289014130830765
1616004786.026807,62337,0.05027491971850395
1616004798.6542568,62535,0.06715376675128937
1616004860.5930927,63217,0.09684256464242935
1616005068.143678,66088,0.07794632017612457
1616005167.2723107,67331,0.04564155638217926
1616005180.2254462,67452,0.06846290826797485
1616005289.8933198,68882,0.06378097832202911
1616005375.0298512,69993,0.04200362414121628
1616005520.7437456,71885,0.050279051065444946
1616005689.8920822,74162,0.09459808468818665
1616005752.0412414,74932,0.04393572732806206
1616005752.0552042,74965,0.06813712418079376
1616005789.414354,75449,0.04253603145480156
1616006011.924583,78320,0.10032852739095688
1616006035.73594,78672,0.057981669902801514
1616006154.509053,80245,0.04836645349860191
1616006217.8188381,80993,0.03847678750753403
1616006304.9403517,82137,0.03368481993675232
1616006330.8481245,82555,0.04036629945039749
1616006443.366695,83974,0.03789424151182175
1616006455.5676787,84106,0.04073366895318031
1616006553.3774624,85316,0.06665492802858353
1616006553.4153593,85426,0.042455561459064484
1616006627.8792229,86350,0.022741740569472313
1616006840.6273966,89122,0.031293950974941254
1616006892.7337997,89683,0.03821050748229027
