Wall time,Step,Value;;;;;
1612299277.4853427,140,-1.5526647567749023;;;;;
1612299277.4853427,142,-1.446579098701477;;;;;
1612299277.4873075,150,-1.4402042627334595;;;;;
1612299277.4873075,155,-2.3849198818206787;;;;;
1612299277.4873075,157,-1.2628854513168335;;;;;
1612299277.4873075,163,-1.3815970420837402;;;;;"Average Reward; Last 50 Episodes:"
1612299277.4873075,165,-1.8817973136901855;;;;;
1612299277.4883366,167,-1.8558484315872192;;;;;
1612299277.4883366,175,-1.5191447734832764;;;;;
1612299277.490329,199,-1.7373197078704834;;;;;
1612299277.491327,206,-1.3233407735824585;;;;;
1612299277.491327,210,-1.5457364320755005;;;;;
1612299277.491327,213,-1.667083501815796;;;;;
1612299277.491327,215,-1.5415623188018799;;;;;
1612299277.491327,219,-1.5795557498931885;;;;;
1612299277.4932888,229,-3.465163469314575;;;;;
1612299277.4932888,231,-1.0491695404052734;;;;;
1612299277.4932888,233,-1.8404018878936768;;;;;
1612299277.4932888,235,-1.6361727714538574;;;;;
1612299277.4932888,237,-1.7822864055633545;;;;;
1612299277.4943063,247,-1.2232553958892822;;;;;
1612299277.4953158,250,-2.520580768585205;;;;;
1612299277.4953158,254,-1.1551170349121094;;;;;
1612299306.5932648,256,-3.04895281791687;;;;;
1612299306.5942695,261,-1.3330981731414795;;;;;
1612299306.5942695,263,-1.9239330291748047;;;;;
1612299306.5942695,265,-1.8792086839675903;;;;;
1612299306.5942695,267,-1.7193011045455933;;;;;
1612299306.5952854,277,-1.58267080783844;;;;;
1612299306.5962842,287,-1.2841295003890991;;;;;
1612299306.5962842,293,-1.9388229846954346;;;;;
1612299306.5972502,294,-2.5232834815979004;;;;;
1612299306.5972502,305,-3.3064253330230713;;;;;
1612299306.5979793,319,-1.2460200786590576;;;;;
1612299306.599006,324,-1.2619829177856445;;;;;
1612299306.599006,326,-1.223125696182251;;;;;
1612299306.599977,339,-1.091353178024292;;;;;
1612299306.599977,344,-1.4789655208587646;;;;;
1612299306.6009738,348,-1.360302209854126;;;;;
1612299306.6019716,361,-1.5818743705749512;;;;;
1612299306.6019716,363,-1.0797449350357056;;;;;
1612299306.602969,368,-1.7153050899505615;;;;;
1612299306.602969,370,-1.4821281433105469;;;;;
1612299306.602969,383,-1.8368892669677734;;;;;
1612299335.6415818,387,-0.9534204602241516;;;;;
1612299335.6415818,391,-1.6511249542236328;;;;;
1612299335.6415818,393,-1.526289463043213;;;;;
1612299335.6415818,394,-2.480684518814087;;;;;
1612299335.642568,408,-1.3609404563903809;;;;;
1612299335.642568,418,-1.5428214073181152;;;;;
1612299335.6435666,422,-1.6011329889297485;;;;;
