Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:"
1612300994.9745836,30,-2.059915542602539;;;;;-1.457507548
1612300994.9745836,32,-1.648367166519165;;;;;
1612300999.279335,41,-1.674830436706543;;;;;
1612300999.279335,47,-1.8701410293579102;;;;;
1612300999.279335,49,-0.9940993189811707;;;;;
1612300999.2803323,55,-1.9032673835754395;;;;;
1612300999.2803323,57,-1.5656073093414307;;;;;
1612300999.2803323,59,-1.5598775148391724;;;;;
1612301003.518805,66,-2.428652048110962;;;;;
1612301008.737126,90,-1.0155420303344727;;;;;
1612301008.7381234,98,-1.33643639087677;;;;;
1612301013.1320257,102,-1.2672693729400635;;;;;
1612301013.1320257,105,-1.621089220046997;;;;;
1612301013.1320257,107,-1.5558998584747314;;;;;
1612301013.1320257,111,-1.7601723670959473;;;;;
1612301018.3099186,123,-1.5661927461624146;;;;;
1612301018.3099186,125,-1.1834943294525146;;;;;
1612301018.3099186,127,-1.4276889562606812;;;;;
1612301018.3099186,129,-1.627873182296753;;;;;
1612301018.3099186,131,-1.5282506942749023;;;;;
1612301023.5657222,141,-1.1302238702774048;;;;;
1612301023.5657222,144,-2.4657394886016846;;;;;
1612301023.5657222,146,-2.4344115257263184;;;;;
1612301023.5657222,148,-1.4937433004379272;;;;;
1612301023.5657222,154,-1.2591297626495361;;;;;
1612301023.5657222,156,-3.2471487522125244;;;;;
1612301023.567307,158,-1.8285249471664429;;;;;
1612301028.935893,160,-1.0625864267349243;;;;;
1612301028.935893,170,-1.2284126281738281;;;;;
1612301028.9368906,178,-1.5558661222457886;;;;;
1612301033.4589045,184,-1.7602424621582031;;;;;
1612301033.4589045,186,-1.6516227722167969;;;;;
1612301033.4589045,198,-1.750901699066162;;;;;
1612301039.4540641,212,-1.8174241781234741;;;;;
1612301039.4540641,217,-2.4409492015838623;;;;;
1612301039.455044,219,-1.0968940258026123;;;;;
1612301044.612482,231,-2.448349714279175;;;;;
1612301044.612482,237,-1.1692076921463013;;;;;
