Wall time,Step,Value;;;;;Average Reward of the last 50 Episodes:
1612188587.9705727,12,-1.431269884109497;;;;;-1.4392074
1612188588.2847395,14,-1.6940438747406006;;;;;
1612188590.5586548,22,-1.6304446458816528;;;;;
1612188591.006456,24,-1.2796366214752197;;;;;
1612188591.3412383,27,-2.4240920543670654;;;;;
1612188591.7116275,29,-0.94251549243927;;;;;
1612188592.3828332,31,-1.6148067712783813;;;;;
1612188592.8156762,32,-2.4434409141540527;;;;;
1612188593.3613777,34,-1.1923068761825562;;;;;
1612188593.940829,36,-2.0855555534362793;;;;;
1612188594.5232723,38,-2.0182204246520996;;;;;
1612188595.0987408,40,-2.001875638961792;;;;;
1612188597.3848095,48,-2.137056350708008;;;;;
1612188597.9970942,50,-2.003674030303955;;;;;
1612188602.7286253,66,-2.092421531677246;;;;;
1612188603.3298438,68,-2.239128589630127;;;;;
1612188604.461302,72,-2.1875500679016113;;;;;
1612188605.7528489,78,-1.2791244983673096;;;;;
1612188606.3367045,80,-1.4736227989196777;;;;;
1612188607.2723844,84,-1.95866858959198;;;;;
1612188607.8478923,86,-1.5363945960998535;;;;;
1612188608.3416657,88,-1.4998177289962769;;;;;
1612188608.9082425,90,-1.580834150314331;;;;;
1612188609.9899695,94,-1.8117649555206299;;;;;
1612188611.1544216,98,-1.7951374053955078;;;;;
1612188611.7205255,100,-1.921400547027588;;;;;
1612188613.460731,106,-1.4989312887191772;;;;;
1612188613.8038442,108,-1.9070067405700684;;;;;
1612188613.8038442,109,-2.461505889892578;;;;;
1612188614.276819,111,-1.582993984222412;;;;;
1612188614.7575161,113,-1.304281234741211;;;;;
1612188616.2922518,119,-1.9156913757324219;;;;;
1612188616.755015,121,-1.879246473312378;;;;;
1612188617.8726985,124,-2.4716007709503174;;;;;
1612188618.2164922,126,-2.433114767074585;;;;;
1612188618.2164922,127,-2.5493364334106445;;;;;
1612188618.797099,129,-1.7589751482009888;;;;;
1612188619.2877874,131,-1.8383562564849854;;;;;
1612188620.856822,137,-2.061516761779785;;;;;
1612188621.476546,139,-1.9503812789916992;;;;;
1612188622.2280746,141,-1.963789701461792;;;;;
1612188622.864144,142,-2.3825292587280273;;;;;
1612188623.6802628,146,-1.6332964897155762;;;;;
1612188624.6663964,151,-2.483945608139038;;;;;
1612188626.627154,159,-1.6514041423797607;;;;;
1612188627.093929,161,-1.5724586248397827;;;;;
1612188627.5746226,163,-1.4560251235961914;;;;;
1612188628.0224345,165,-1.6790883541107178;;;;;
1612188628.4433234,167,-1.0833606719970703;;;;;
1612188628.8881505,169,-1.990144968032837;;;;;
1612188631.010437,178,-1.091717004776001;;;;;
1612188634.125895,192,-2.49294114112854;;;;;
1612188634.6267636,195,-2.447922706604004;;;;;
1612188635.2648106,197,-1.6277024745941162;;;;;
1612188635.8235226,199,-1.6656700372695923;;;;;
1612188638.7708106,211,-1.1814489364624023;;;;;
1612188640.1815417,216,-1.3045848608016968;;;;;
1612188640.6502588,219,-2.4251389503479004;;;;;
1612188641.161905,221,-1.0372706651687622;;;;;
1612188641.606835,222,-2.4329898357391357;;;;;
1612188643.016744,230,-1.0004626512527466;;;;;
1612188643.4765887,232,-1.7176457643508911;;;;;
1612188643.4765887,233,-2.408437967300415;;;;;
1612188645.3054678,238,-1.3699274063110352;;;;;
1612188645.8540645,240,-1.3523454666137695;;;;;
1612188647.513808,246,-1.3784925937652588;;;;;
1612188649.8139057,254,-1.5257031917572021;;;;;
1612188650.9705088,258,-1.438246726989746;;;;;
1612188652.146838,262,-1.321984052658081;;;;;
1612188652.7373395,264,-1.3501372337341309;;;;;
1612188653.3219116,266,-1.2888433933258057;;;;;
1612188653.9029741,268,-1.5677618980407715;;;;;
1612188655.0509737,272,-1.4388902187347412;;;;;
1612188656.1913712,276,-1.5872968435287476;;;;;
1612188657.3377435,280,-1.4957678318023682;;;;;
1612188659.0572937,286,-1.3325893878936768;;;;;
1612188659.6088085,288,-1.4539191722869873;;;;;
1612188660.184296,290,-1.564232349395752;;;;;
1612188661.3875148,294,-1.4351084232330322;;;;;
1612188661.9541707,296,-1.4904348850250244;;;;;
1612188662.5617468,298,-1.5058836936950684;;;;;
1612188664.3055537,304,-1.5690172910690308;;;;;
1612188665.4546938,308,-1.2875018119812012;;;;;
1612188666.0043166,310,-1.0622310638427734;;;;;
1612188667.121331,314,-1.3123770952224731;;;;;
1612188667.685822,316,-1.5162526369094849;;;;;
1612188669.384282,322,-1.450080156326294;;;;;
1612188671.6395853,330,-1.207641839981079;;;;;
1612188672.22901,332,-0.9994582533836365;;;;;
1612188672.8031013,334,-0.9843785166740417;;;;;
1612188673.3496392,336,-1.180652141571045;;;;;
1612188674.4519994,340,-1.1705111265182495;;;;;
1612188675.0593765,342,-1.1447279453277588;;;;;
1612188675.7135096,344,-2.5117998123168945;;;;;
