Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes"
1612197794.323356,13,-3.2390494346618652;;;;;-1.120733824
1612197797.534448,25,-1.869857668876648;;;;;
1612197799.7375424,32,-1.8714659214019775;;;;;
1612197801.2904015,38,-1.9836390018463135;;;;;
1612197803.498515,49,-1.950599193572998;;;;;
1612197808.6308022,70,-2.836639881134033;;;;;
1612197810.4728632,78,-1.5624241828918457;;;;;
1612197811.229847,82,-1.9217431545257568;;;;;
1612197812.2531009,86,-1.9625837802886963;;;;;
1612197812.629943,88,-1.632502555847168;;;;;
1612197813.6497614,92,-1.8783512115478516;;;;;
1612197816.081589,104,-2.021399736404419;;;;;
1612197816.081589,105,-2.4624176025390625;;;;;
1612197816.3841963,107,-1.6124279499053955;;;;;
1612197816.9427018,109,-1.4072167873382568;;;;;
1612197819.8267293,123,-1.1270579099655151;;;;;
1612197821.1571755,128,-2.420273542404175;;;;;
1612197822.8794882,134,-1.7478152513504028;;;;;
1612197823.4512684,136,-1.5990815162658691;;;;;
1612197823.4512684,137,-2.428588628768921;;;;;
1612197823.7692227,138,-2.818530797958374;;;;;
1612197825.590402,147,-1.5529061555862427;;;;;
1612197829.1534722,163,-1.7972970008850098;;;;;
1612197832.9098823,176,-1.4387215375900269;;;;;
1612197835.7164044,189,-2.8327975273132324;;;;;
1612197837.1206279,195,-1.8595094680786133;;;;;
1612197837.561448,197,-1.6769280433654785;;;;;
1612197841.0082736,210,-2.441535234451294;;;;;
1612197842.6879292,218,-1.988603115081787;;;;;
1612197845.411648,231,-2.526008367538452;;;;;
1612197846.7281294,236,-2.401430130004883;;;;;
1612197847.2700803,238,-1.5658740997314453;;;;;
1612197851.062391,254,-1.2378137111663818;;;;;
1612197851.7477865,257,-1.7662756443023682;;;;;
1612197852.175624,258,-2.4846620559692383;;;;;
1612197852.5277112,260,-1.0715904235839844;;;;;
1612197854.9796183,273,-0.9022275805473328;;;;;
1612197857.7200546,283,-1.8525713682174683;;;;;
1612197858.459942,286,-1.186650276184082;;;;;
1612197859.0118058,288,-0.9631402492523193;;;;;
1612197859.809661,293,-1.844148874282837;;;;;
1612197862.7867174,303,-1.8515386581420898;;;;;
1612197863.247486,305,-1.597771167755127;;;;;
1612197864.6578891,311,-1.1401240825653076;;;;;
1612197866.907885,321,-1.683279037475586;;;;;
1612197867.3407173,323,-1.6280181407928467;;;;;
1612197868.2103934,327,-1.635655164718628;;;;;
1612197869.5299218,333,-1.3092293739318848;;;;;
1612197870.411774,337,-1.082073450088501;;;;;
1612197870.855592,339,-1.6056604385375977;;;;;
1612197871.8028293,342,-2.47434401512146;;;;;
1612197872.0960472,345,-1.0374563932418823;;;;;
1612197872.6545537,347,-1.6835371255874634;;;;;
1612197875.7128654,360,-1.3961375951766968;;;;;
1612197878.7507281,375,-1.4084545373916626;;;;;
