Wall time,Step,Value;;;;;Durchschittlicher Reward in den letzten 50 Episoden:;;;
1612376003.621667,14,-2.0921618938446045;;;;;-1.929955363;;;
1612376004.2350292,16,-2.1548502445220947;;;;;;;;
1612376006.647579,24,-2.227482557296753;;;;;;;;
1612376007.2240422,26,-2.017437696456909;;;;;;;;
1612376008.3869298,30,-1.8228871822357178;;;;;;;;
1612376008.9284828,32,-2.1203665733337402;;;;;;;;
1612376009.5059714,34,-2.0658369064331055;;;;;;;;
1612376010.6788027,38,-1.8508243560791016;;;;;;;;
1612376011.2542646,40,-1.9092252254486084;;;;;;;;
1612376011.9005382,42,-1.923919439315796;;;;;;;;
1612376012.8350446,44,-1.8966636657714844;;;;;;;;
1612376015.6675107,52,-2.1931910514831543;;;;;;;;
1612376020.9543254,70,-2.003516435623169;;;;;;;;
1612376021.5367684,72,-1.9461171627044678;;;;;;;;
1612376022.981906,76,-1.7800215482711792;;;;;;;;
1612376024.8504772,82,-1.9763730764389038;;;;;;;;
1612376025.489768,84,-1.8271933794021606;;;;;;;;
1612376026.619167,88,-2.1919302940368652;;;;;;;;
1612376027.7793474,92,-2.206775188446045;;;;;;;;
1612376028.3677478,94,-2.046384334564209;;;;;;;;
1612376029.5306077,98,-1.8033921718597412;;;;;;;;
1612376030.6536422,102,-1.881960391998291;;;;;;;;
1612376031.2171004,104,-1.9678683280944824;;;;;;;;
1612376032.8906257,110,-1.9279015064239502;;;;;;;;
1612376033.4342043,112,-1.8457355499267578;;;;;;;;
1612376033.997667,114,-2.1883249282836914;;;;;;;;
1612376034.5571718,116,-1.752437710762024;;;;;;;;
1612376035.1216624,118,-2.1616501808166504;;;;;;;;
1612376036.7973247,124,-2.0899033546447754;;;;;;;;
1612376037.3488822,126,-1.8705344200134277;;;;;;;;
1612376038.492792,130,-1.9545458555221558;;;;;;;;
1612376039.6377244,134,-1.8813921213150024;;;;;;;;
1612376040.2244325,136,-1.7911860942840576;;;;;;;;
1612376040.791003,138,-1.7883410453796387;;;;;;;;
1612376041.369704,140,-1.8024142980575562;;;;;;;;
1612376043.2313676,146,-1.7855994701385498;;;;;;;;
1612376043.800157,148,-1.9087882041931152;;;;;;;;
1612376044.3561232,150,-2.0157198905944824;;;;;;;;
1612376044.9935045,152,-1.9325066804885864;;;;;;;;
1612376046.1148462,156,-1.8501489162445068;;;;;;;;
1612376047.7870646,162,-1.8755773305892944;;;;;;;;
1612376050.5542397,172,-2.0420501232147217;;;;;;;;
1612376051.1436515,174,-1.950286865234375;;;;;;;;
1612376051.7389784,176,-2.0242044925689697;;;;;;;;
1612376052.3318753,178,-1.86517333984375;;;;;;;;
1612376052.8953931,180,-1.796371579170227;;;;;;;;
1612376053.4429617,182,-2.0064423084259033;;;;;;;;
1612376056.386656,192,-2.06207013130188;;;;;;;;
1612376060.6095927,208,-2.048217535018921;;;;;;;;
1612376061.702642,213,-1.8631476163864136;;;;;;;;
1612376062.2752783,215,-2.0333218574523926;;;;;;;;
1612376065.9484806,229,-2.0372681617736816;;;;;;;;
1612376068.066945,235,-1.9961564540863037;;;;;;;;
1612376069.2306092,239,-1.8441290855407715;;;;;;;;
1612376069.8426456,241,-2.003146171569824;;;;;;;;
1612376070.4121213,243,-1.9471728801727295;;;;;;;;
1612376072.9208958,251,-1.8798327445983887;;;;;;;;
1612376073.5553498,253,-1.854602575302124;;;;;;;;
1612376074.1368854,255,-1.9104300737380981;;;;;;;;
1612376075.8944237,261,-1.7690489292144775;;;;;;;;
1612376076.4559553,263,-2.013288974761963;;;;;;;;
1612376078.1552038,269,-1.9287842512130737;;;;;;;;
1612376080.4477575,277,-1.8615056276321411;;;;;;;;
1612376081.6119828,281,-1.9459302425384521;;;;;;;;
1612376082.8020282,285,-1.8154587745666504;;;;;;;;
1612376083.4056668,287,-1.9122281074523926;;;;;;;;
1612376083.9922175,289,-1.8696012496948242;;;;;;;;
1612376084.5766597,291,-1.9326977729797363;;;;;;;;
1612376086.822779,299,-2.0308871269226074;;;;;;;;
1612376087.97031,303,-2.1140758991241455;;;;;;;;
1612376089.7166986,309,-1.9183435440063477;;;;;;;;
1612376090.301166,311,-1.9380383491516113;;;;;;;;
1612376090.8895638,313,-1.919111728668213;;;;;;;;
1612376092.1065452,317,-1.909224033355713;;;;;;;;
1612376092.6820014,319,-1.949737787246704;;;;;;;;
1612376093.2557702,321,-1.862046480178833;;;;;;;;
1612376094.968148,327,-1.7703038454055786;;;;;;;;
1612376096.0801952,331,-2.011798143386841;;;;;;;;
1612376096.6655147,333,-1.8844844102859497;;;;;;;;
1612376097.8509943,337,-2.0631868839263916;;;;;;;;
1612376098.4393485,339,-1.8978700637817383;;;;;;;;
1612376100.3210862,345,-1.9754548072814941;;;;;;;;
1612376103.2941399,355,-1.977785348892212;;;;;;;;
1612376103.853646,357,-1.844399333000183;;;;;;;;
1612376104.4281077,359,-1.8747386932373047;;;;;;;;
1612376105.6189246,363,-1.8966712951660156;;;;;;;;
1612376106.201368,365,-2.0733156204223633;;;;;;;;
1612376107.4679837,369,-1.798194169998169;;;;;;;;
1612376108.7711225,373,-2.215376615524292;;;;;;;;
1612376109.4203897,375,-1.8062472343444824;;;;;;;;
1612376110.022918,377,-1.9177401065826416;;;;;;;;
1612376110.634251,379,-1.906408429145813;;;;;;;;
1612376111.9736962,383,-1.8886759281158447;;;;;;;;
1612376112.5980365,385,-1.8886332511901855;;;;;;;;
1612376116.8167257,399,-2.034193992614746;;;;;;;;
1612376119.1552024,407,-1.8892226219177246;;;;;;;;
1612376121.5892708,415,-1.8868672847747803;;;;;;;;
1612376122.2052462,417,-1.8585712909698486;;;;;;;;
1612376122.8251638,419,-1.8682337999343872;;;;;;;;
1612376125.1885247,427,-1.8747062683105469;;;;;;;;
1612376126.963246,433,-1.8721873760223389;;;;;;;;
1612376128.7572732,439,-1.7827200889587402;;;;;;;;
1612376129.3293142,441,-1.9623563289642334;;;;;;;;
1612376131.05552,447,-1.7536840438842773;;;;;;;;
1612376131.6332743,449,-1.8836965560913086;;;;;;;;
1612376132.9084408,453,-1.9994890689849854;;;;;;;;
1612376133.5517387,455,-1.8513507843017578;;;;;;;;
1612376134.1102455,457,-1.8544182777404785;;;;;;;;
1612376135.2802882,461,-1.958388328552246;;;;;;;;
1612376135.8587883,463,-1.8874764442443848;;;;;;;;
1612376136.46073,465,-2.144047260284424;;;;;;;;
1612376137.057874,467,-1.8442778587341309;;;;;;;;
1612376137.6555536,469,-1.9123058319091797;;;;;;;;
1612376138.2768528,471,-2.1168880462646484;;;;;;;;
1612376140.0581498,477,-2.206050395965576;;;;;;;;
1612376141.8471947,483,-1.925100326538086;;;;;;;;
1612376144.739327,493,-1.9352939128875732;;;;;;;;
1612376145.9303668,497,-1.9005346298217773;;;;;;;;
1612376147.076101,501,-1.8833808898925781;;;;;;;;
1612376147.6668563,503,-1.8953790664672852;;;;;;;;
1612376150.5929139,513,-1.9715646505355835;;;;;;;;
1612376152.47035,519,-1.8889212608337402;;;;;;;;
1612376153.0802321,521,-1.907231330871582;;;;;;;;
1612376153.6457205,523,-1.896533489227295;;;;;;;;
1612376154.2166865,525,-1.9975008964538574;;;;;;;;
1612376155.3287137,529,-1.8983242511749268;;;;;;;;
1612376157.7168949,537,-2.161776542663574;;;;;;;;
1612376158.897738,541,-2.2554893493652344;;;;;;;;
1612376160.2056267,545,-2.0352540016174316;;;;;;;;
1612376161.84012,549,-1.9269230365753174;;;;;;;;
1612376164.999651,559,-2.0498812198638916;;;;;;;;
1612376166.1725192,563,-1.80759859085083;;;;;;;;
1612376168.6635246,571,-1.8768389225006104;;;;;;;;
1612376172.0939484,581,-1.9644784927368164;;;;;;;;
1612376173.6344879,585,-1.7900230884552002;;;;;;;;
1612376174.3745117,587,-1.853230357170105;;;;;;;;
1612376176.3638248,593,-1.9570868015289307;;;;;;;;
1612376177.6793306,597,-1.9488579034805298;;;;;;;;
1612376178.351536,599,-2.0174989700317383;;;;;;;;
1612376178.9963522,601,-1.8390588760375977;;;;;;;;
1612376180.3105814,605,-1.970603346824646;;;;;;;;
1612376180.9508715,607,-1.8142271041870117;;;;;;;;
1612376181.5934255,609,-1.9660766124725342;;;;;;;;
1612376184.0818982,617,-1.9044872522354126;;;;;;;;
1612376184.7256489,619,-1.962886095046997;;;;;;;;
1612376185.967138,623,-1.9541094303131104;;;;;;;;
1612376187.8524725,629,-2.015916109085083;;;;;;;;
1612376190.3511016,637,-1.8645906448364258;;;;;;;;
1612376190.9655452,639,-1.901833415031433;;;;;;;;
1612376191.580979,641,-1.9403772354125977;;;;;;;;
1612376192.2063644,643,-1.9979276657104492;;;;;;;;
1612376193.5529938,647,-1.9298640489578247;;;;;;;;
1612376195.4639509,653,-1.9202697277069092;;;;;;;;
1612376196.0968046,655,-2.013589859008789;;;;;;;;
1612376196.7438085,657,-1.8091070652008057;;;;;;;;
1612376198.4038339,663,-3.504456043243408;;;;;;;;
1612376199.0817814,665,-1.9051499366760254;;;;;;;;
1612376200.2189972,669,-1.991232991218567;;;;;;;;
1612376203.914783,681,-1.9758809804916382;;;;;;;;
1612376205.163337,685,-1.8911962509155273;;;;;;;;
1612376207.2478209,691,-1.9414150714874268;;;;;;;;
1612376207.947562,693,-1.801490068435669;;;;;;;;
1612376209.361864,697,-2.012279748916626;;;;;;;;
1612376210.0232534,699,-1.9447968006134033;;;;;;;;
1612376213.2054882,709,-1.9718259572982788;;;;;;;;
1612376213.8148217,711,-1.8290910720825195;;;;;;;;
1612376215.0266645,715,-2.0335867404937744;;;;;;;;
1612376216.2220855,719,-1.9447460174560547;;;;;;;;
1612376216.8253186,721,-2.0224380493164062;;;;;;;;
1612376217.437831,723,-2.0164501667022705;;;;;;;;
1612376219.265049,729,-2.037346363067627;;;;;;;;
1612376219.7568107,731,-2.0039377212524414;;;;;;;;
1612376221.5818818,737,-1.9770348072052002;;;;;;;;
1612376222.1779187,739,-1.8911380767822266;;;;;;;;
1612376223.5620637,743,-1.9162640571594238;;;;;;;;
1612376224.1938553,745,-1.8950831890106201;;;;;;;;
1612376225.5490818,749,-1.8561482429504395;;;;;;;;
1612376227.8593335,757,-1.9811792373657227;;;;;;;;
1612376228.5058355,759,-1.923182487487793;;;;;;;;
1612376229.1921544,761,-1.9124609231948853;;;;;;;;
1612376230.4147882,765,-2.0190646648406982;;;;;;;;
1612376231.07772,767,-1.8435630798339844;;;;;;;;
1612376233.0459383,773,-2.16642427444458;;;;;;;;
1612376233.716046,775,-1.8851361274719238;;;;;;;;
1612376234.3333344,777,-1.9649813175201416;;;;;;;;
1612376234.9379065,779,-1.930706262588501;;;;;;;;
1612376236.1722338,783,-2.1755895614624023;;;;;;;;
1612376236.8549056,785,-1.8784747123718262;;;;;;;;
1612376237.5420678,787,-1.968932032585144;;;;;;;;
1612376238.1334882,789,-1.9096837043762207;;;;;;;;
1612376244.211686,807,-2.015106439590454;;;;;;;;
1612376244.8341794,809,-2.015866279602051;;;;;;;;
1612376246.0879064,813,-1.9153642654418945;;;;;;;;
1612376248.003226,819,-1.9299674034118652;;;;;;;;
1612376252.339242,833,-1.8079273700714111;;;;;;;;
1612376253.00848,835,-1.945737600326538;;;;;;;;
1612376255.4148488,843,-1.9605580568313599;;;;;;;;
1612376256.0260694,845,-2.035304546356201;;;;;;;;
1612376256.6654377,847,-1.8782563209533691;;;;;;;;
1612376257.9592013,851,-1.8041343688964844;;;;;;;;
1612376259.200909,855,-1.907602071762085;;;;;;;;
1612376261.6881623,863,-2.020505905151367;;;;;;;;
1612376266.9981587,880,-1.9112486839294434;;;;;;;;
1612376267.4962935,882,-2.1740598678588867;;;;;;;;
1612376267.874284,884,-2.0312891006469727;;;;;;;;
1612376268.2054307,886,-1.064924716949463;;;;;;;;
1612376269.3092768,890,-1.0037856101989746;;;;;;;;
1612376269.8335605,892,-1.7446532249450684;;;;;;;;
1612376271.479392,898,-1.9709789752960205;;;;;;;;
1612376272.7552567,904,-1.5765845775604248;;;;;;;;
1612376276.304329,917,-1.9936473369598389;;;;;;;;
1612376276.9587567,919,-1.968579649925232;;;;;;;;
1612376277.6145837,921,-1.9334722757339478;;;;;;;;
1612376278.5297341,923,-2.0401651859283447;;;;;;;;
1612376279.851498,927,-1.9543814659118652;;;;;;;;
1612376280.5947301,929,-1.8344053030014038;;;;;;;;
1612376281.2320147,931,-1.8767201900482178;;;;;;;;
1612376282.2597187,935,-2.037484645843506;;;;;;;;
1612376282.9139626,937,-2.1538166999816895;;;;;;;;
1612376283.648016,939,-2.0281505584716797;;;;;;;;
1612376284.945055,943,-1.97981858253479;;;;;;;;
1612376286.1499135,947,-1.9994993209838867;;;;;;;;
1612376286.7388585,949,-1.8074510097503662;;;;;;;;
1612376289.4504108,957,-2.0171895027160645;;;;;;;;
1612376293.6971335,971,-2.0643131732940674;;;;;;;;
1612376295.4350605,977,-2.035898208618164;;;;;;;;
1612376296.0490174,979,-1.8319116830825806;;;;;;;;
1612376297.2573323,983,-1.9689815044403076;;;;;;;;
1612376298.3519964,987,-1.9114940166473389;;;;;;;;
1612376299.895121,993,-1.7870322465896606;;;;;;;;
1612376306.4991493,1015,-1.8571797609329224;;;;;;;;
1612376308.3359032,1021,-2.1534509658813477;;;;;;;;
1612376308.831576,1023,-1.8658509254455566;;;;;;;;
1612376309.510762,1025,-1.9427114725112915;;;;;;;;
1612376310.8103192,1029,-1.851351261138916;;;;;;;;
1612376312.0180175,1033,-2.0074563026428223;;;;;;;;
1612376312.6292005,1035,-2.017868757247925;;;;;;;;
1612376313.962963,1039,-2.124191999435425;;;;;;;;
1612376316.8312366,1049,-1.9461064338684082;;;;;;;;
1612376317.4316258,1051,-1.9965696334838867;;;;;;;;
1612376320.9197476,1063,-2.064694881439209;;;;;;;;
1612376321.9948556,1067,-1.9832820892333984;;;;;;;;
1612376322.5977137,1069,-1.9877064228057861;;;;;;;;
1612376323.1979458,1071,-1.9359941482543945;;;;;;;;
1612376323.6930923,1073,-1.9684531688690186;;;;;;;;
1612376324.3069782,1075,-1.5864920616149902;;;;;;;;
1612376324.807081,1077,-2.021001100540161;;;;;;;;
1612376325.2698839,1079,-1.7570276260375977;;;;;;;;
1612376325.9560275,1081,-1.637382984161377;;;;;;;;
1612376326.4464989,1083,-1.9547264575958252;;;;;;;;
1612376327.05762,1085,-2.043544292449951;;;;;;;;
1612376328.2696562,1089,-1.7896039485931396;;;;;;;;
1612376330.086815,1095,-1.8694214820861816;;;;;;;;
1612376330.5746756,1097,-1.9967703819274902;;;;;;;;
1612376331.0660381,1099,-1.9563608169555664;;;;;;;;
1612376332.1940227,1103,-1.9663922786712646;;;;;;;;
1612376334.2745903,1111,-1.8862756490707397;;;;;;;;
1612376335.2350254,1115,-1.9385325908660889;;;;;;;;
1612376335.887655,1119,-1.500503420829773;;;;;;;;
1612376337.7106447,1127,-1.9257808923721313;;;;;;;;
1612376338.1973636,1129,-1.832190752029419;;;;;;;;
1612376338.7029939,1131,-1.6455090045928955;;;;;;;;
1612376340.4343665,1135,-1.9985814094543457;;;;;;;;
1612376341.779658,1138,-1.9718985557556152;;;;;;;;
1612376343.022718,1142,-1.6561980247497559;;;;;;;;
1612376344.2958376,1146,-1.9065711498260498;;;;;;;;
1612376344.9162018,1148,-2.168574810028076;;;;;;;;
1612376346.580038,1154,-1.0848379135131836;;;;;;;;
1612376347.461725,1158,-1.945425271987915;;;;;;;;
1612376348.0259008,1160,-1.757276177406311;;;;;;;;
1612376348.5307612,1162,-2.024834632873535;;;;;;;;
1612376349.1410208,1164,-1.9187607765197754;;;;;;;;
1612376349.5404618,1166,-2.003618001937866;;;;;;;;
1612376350.0661445,1168,-1.2678933143615723;;;;;;;;
1612376351.6550086,1172,-2.01047420501709;;;;;;;;
1612376352.1551642,1174,-2.0227105617523193;;;;;;;;
1612376354.6640608,1184,-1.1116440296173096;;;;;;;;
1612376355.1342144,1186,-1.0679059028625488;;;;;;;;
1612376355.7148614,1189,-2.481513500213623;;;;;;;;
1612376356.3266938,1190,-2.4959065914154053;;;;;;;;
1612376356.8054278,1192,-1.1420055627822876;;;;;;;;
1612376358.0939693,1196,-2.4671945571899414;;;;;;;;
1612376358.6584623,1198,-2.54899001121521;;;;;;;;
1612376359.2447095,1200,-2.4390475749969482;;;;;;;;
1612376359.849679,1202,-2.4523298740386963;;;;;;;;
1612376360.4854605,1205,-2.496273994445801;;;;;;;;
1612376361.3694887,1208,-1.3797974586486816;;;;;;;;
1612376361.3694887,1209,-2.3997385501861572;;;;;;;;
1612376361.7669384,1211,-1.2452716827392578;;;;;;;;
1612376363.3972096,1217,-1.166332721710205;;;;;;;;
1612376364.923947,1223,-2.4273314476013184;;;;;;;;
1612376365.5514524,1225,-1.8661164045333862;;;;;;;;
1612376366.2837048,1228,-1.588932991027832;;;;;;;;
1612376366.8741276,1230,-1.771188735961914;;;;;;;;
1612376367.8278313,1234,-1.0762511491775513;;;;;;;;
1612376369.4101546,1242,-1.2044994831085205;;;;;;;;
1612376371.2223678,1250,-1.458777666091919;;;;;;;;
1612376374.8431475,1264,-1.9653096199035645;;;;;;;;
1612376375.5396554,1266,-1.9570497274398804;;;;;;;;
1612376376.8092782,1270,-1.995917797088623;;;;;;;;
1612376377.4914572,1272,-1.8309831619262695;;;;;;;;
1612376378.118869,1274,-1.737778663635254;;;;;;;;
1612376378.8251393,1276,-1.9543393850326538;;;;;;;;
1612376379.5751643,1278,-2.079740047454834;;;;;;;;
1612376380.3025756,1280,-1.8634040355682373;;;;;;;;
1612376381.664147,1284,-1.828432321548462;;;;;;;;
1612376382.2737505,1286,-1.977710485458374;;;;;;;;
1612376384.787759,1294,-1.8416757583618164;;;;;;;;
1612376385.4421349,1296,-1.963832139968872;;;;;;;;
1612376386.4212763,1300,-1.9276621341705322;;;;;;;;
1612376387.402651,1304,-1.9677351713180542;;;;;;;;
1612376388.9524906,1310,-1.670534610748291;;;;;;;;
1612376390.274866,1314,-1.8854796886444092;;;;;;;;
1612376390.983273,1316,-1.9686797857284546;;;;;;;;
1612376391.4581268,1318,-1.928383708000183;;;;;;;;
1612376392.716138,1324,-1.7702202796936035;;;;;;;;
1612376393.2261853,1326,-2.084510326385498;;;;;;;;
1612376393.5605297,1328,-2.0161428451538086;;;;;;;;
1612376393.8575451,1330,-1.632267713546753;;;;;;;;
1612376394.1816788,1332,-1.1138315200805664;;;;;;;;
1612376394.8819773,1336,-1.260483741760254;;;;;;;;
1612376395.2886944,1338,-1.453751802444458;;;;;;;;
