Wall time,Step,Value
1612618877.5535252,16,-1.5034375190734863
1612618879.1657898,18,-4.093849182128906
1612618881.2956548,26,-3.0858421325683594
1612618881.299624,28,-3.0858421325683594
1612618881.987069,29,-1.6837594509124756
1612618883.9913487,34,-1.5285205841064453
1612618885.9606605,43,-1.228800654411316
1612618886.4706757,44,-1.525987982749939
1612618889.7340772,54,-2.2148265838623047
1612618891.100998,60,-3.692795753479004
1612618893.5153298,70,-3.6270203590393066
1612618897.5623848,85,-0.7413583993911743
1612618898.0301347,86,-3.733433723449707
1612618898.9384663,91,-3.701561212539673
1612618900.7521784,99,-4.409017562866211
1612618901.2191272,99,-3.7090072631835938
1612618906.4527194,121,-3.72810959815979
1612618906.9202783,124,-3.6705098152160645
1612618908.786994,131,-3.714019775390625
1612618909.2678866,135,-3.729048013687134
1612618910.2009172,136,-3.778919219970703
1612618910.6896913,141,-3.6901259422302246
1612618911.6133568,143,-3.814056396484375
1612618916.0059557,160,-3.7126965522766113
1612618916.010546,162,-3.7126965522766113
1612618916.9754791,166,-3.6952428817749023
1612618919.2945511,177,-3.786705493927002
1612618920.2548003,181,-3.699618339538574
1612618922.6148522,191,-3.667299270629883
1612618929.6207578,217,-3.6505722999572754
1612618929.6237607,218,-3.6505722999572754
1612618931.593334,227,-3.637228488922119
1612618932.0779006,228,-3.680542469024658
1612618932.5690114,229,-3.6963276863098145
1612618934.6926186,236,-3.653383255004883
1612618934.6996033,239,-3.653383255004883
1612618935.2257583,238,-3.661104202270508
1612618936.172552,244,-3.7079532146453857
1612618938.9156883,253,-3.683026075363159
1612618941.5781405,264,-3.615511894226074
1612618943.945536,273,-3.626938819885254
1612618944.9378524,274,-3.649449348449707
1612618947.9934366,289,-3.737820625305176
1612618949.4115493,293,-3.670781135559082
1612618949.9008596,297,-3.7199501991271973
1612618951.0266397,300,-3.695693016052246
1612618951.0296323,301,-3.695693016052246
1612618955.7491279,316,-3.662421703338623
1612618955.7531147,318,-3.662421703338623
1612618957.3585432,324,-3.674525737762451
1612618958.4137518,327,-3.6995835304260254
1612618958.417732,328,-3.6995835304260254
1612618959.0309043,328,-3.713629722595215
1612618959.0388608,331,-3.713629722595215
1612618959.5465024,331,-3.6598687171936035
1612618961.029619,337,-3.639986753463745
1612618962.0253885,343,-3.701056718826294
1612618967.2973623,364,-3.6735706329345703
1612618968.2841315,368,-3.622889518737793
1612618969.2193885,372,-3.6974453926086426
1612618970.1598575,377,-3.6790976524353027
1612618972.0095537,382,-3.713249683380127
1612618972.4655917,384,-3.717519760131836
1612618973.4016254,389,-3.6658687591552734
1612618973.9008772,391,-3.689450263977051
1612618973.9068727,393,-3.689450263977051
1612618974.3721633,393,-3.704784870147705
1612618975.302322,396,-3.695004463195801
1612618975.75667,399,-3.7030861377716064
1612618975.7606325,401,-3.7030861377716064
1612618976.6887465,402,-3.6463775634765625
1612618976.6927123,404,-3.6463775634765625
1612618977.1450984,406,-3.674285411834717
1612618977.7070465,408,-3.6333296298980713
1612618978.6275754,410,-3.6728591918945312
1612618978.6305704,411,-3.6728591918945312
1612618981.4254506,422,-3.608318567276001
1612618981.9176404,424,-3.6485843658447266
1612618985.9799373,441,-3.7074954509735107
1612618987.00246,444,-3.700674057006836
1612618987.502149,448,-3.6929125785827637
1612618989.3546762,454,-3.7039401531219482
1612618989.8184674,456,-3.6746633052825928
1612618990.2970097,461,-3.7229392528533936
1612618990.8284588,461,-3.642970561981201
1612618991.8162076,465,-3.670398235321045
1612618994.3161936,473,-3.6780507564544678
1612618995.1334634,472,-3.664294958114624
1612618996.3733037,478,-3.6942527294158936
1612618996.8400555,479,-3.6671853065490723
1612618997.7855153,484,-3.675856351852417
1612618998.7367427,488,-3.6194753646850586
1612618999.7543075,493,-3.648118019104004
1612619000.1996474,492,-3.6457865238189697
1612619000.672635,496,-3.6632044315338135
1612619000.674642,497,-3.6632044315338135
1612619001.6384902,498,-3.6597700119018555
1612619003.7155051,508,-3.72672176361084
1612619004.2665164,509,-3.678133487701416
1612619005.321762,514,-3.6355385780334473
1612619008.994045,528,-3.723268985748291
1612619010.3833315,535,-3.674417018890381
1612619010.848089,539,-3.742199420928955
1612619011.309481,540,-3.746081829071045
1612619011.765939,540,-3.653256893157959
1612619012.27283,542,-3.654205799102783
1612619012.8224096,546,-3.6956124305725098
1612619013.5330276,549,-3.663109302520752
1612619014.935279,553,-3.6780567169189453
1612619015.459875,557,-3.656874418258667
1612619016.363462,558,-3.6993486881256104
1612619017.2939923,564,-3.7271833419799805
1612619022.3419101,584,-3.7009873390197754
1612619022.794174,586,-3.696197509765625
1612619022.7971668,587,-3.696197509765625
1612619022.800158,588,-3.696197509765625
1612619025.2526364,596,-3.688634157180786
1612619026.6646693,603,-3.6984446048736572
1612619028.063022,610,-3.6342155933380127
1612619031.2683778,622,-3.7083353996276855
1612619032.6357384,628,-3.7359113693237305
1612619033.621164,635,-3.669984817504883
1612619034.101878,636,-3.700091600418091
1612619034.5805995,637,-3.6355233192443848
1612619036.9886334,647,-3.6696219444274902
1612619037.4607303,651,-3.730140209197998
1612619038.4710178,654,-3.623520851135254
1612619039.4075065,656,-3.6910324096679688
1612619041.2527246,664,-3.744948387145996
1612619041.258678,667,-3.744948387145996
1612619042.6516342,672,-3.6646296977996826
1612619043.1184704,673,-3.6369991302490234
1612619043.5722482,674,-3.667774200439453
1612619043.574255,675,-3.667774200439453
1612619049.0365357,699,-3.7292463779449463
1612619049.4833443,700,-3.730100393295288
1612619049.4903533,703,-3.730100393295288
1612619049.9401202,702,-3.6260533332824707
1612619052.2188008,714,-3.701784133911133
1612619053.647853,720,-3.6815104484558105
1612619055.2478845,724,-3.7125935554504395
1612619055.7016704,726,-3.6226963996887207
1612619058.5001235,739,-3.6910858154296875
1612619058.5031414,740,-3.6910858154296875
1612619059.8743627,745,-3.65067982673645
1612619060.786885,749,-3.6974997520446777
1612619061.2516932,751,-3.7234017848968506
1612619061.2556756,753,-3.7234017848968506
1612619064.971682,769,-3.688694477081299
1612619065.4324512,771,-3.661360263824463
1612619068.6129856,782,-3.6692452430725098
1612619070.4332755,790,-3.6567678451538086
1612619070.435282,791,-3.6567678451538086
1612619072.2816706,798,-3.694854259490967
1612619072.746625,800,-3.654726982116699
1612619074.617769,808,-3.6954455375671387
1612619074.6197324,809,-3.6954455375671387
1612619076.9409492,821,-3.616964101791382
1612619077.8476582,822,-3.624908924102783
1612619078.3064322,825,-3.6129324436187744
1612619078.7791767,826,-3.67771577835083
1612619079.232804,829,-3.6965718269348145
1612619079.6926723,830,-3.734100580215454
1612619081.1244607,836,-3.6849403381347656
1612619082.1048417,840,-3.709836483001709
1612619082.5656404,845,-3.669206142425537
1612619083.469405,848,-3.6638364791870117
1612619084.3480568,853,-3.643122673034668
1612619084.8675516,855,-3.6722776889801025
1612619085.429562,855,-3.608895778656006
1612619085.43355,857,-3.608895778656006
1612619085.914613,858,-3.6268062591552734
1612619086.9330535,861,-3.6448020935058594
1612619087.9030726,866,-3.656137466430664
1612619089.3557959,870,-3.709977865219116
1612619089.8132699,872,-3.708190679550171
1612619089.8162599,874,-3.708190679550171
1612619090.2632298,875,-3.6547131538391113
1612619090.7935896,878,-3.625342845916748
1612619091.323026,879,-3.682863473892212
1612619091.3270504,880,-3.682863473892212
1612619094.1165776,890,-3.6487395763397217
1612619095.0461326,895,-3.6970701217651367
1612619096.015856,897,-3.7412288188934326
1612619096.8935857,900,-3.6718106269836426
1612619096.8965778,901,-3.6718106269836426
1612619097.9034734,906,-3.697615146636963
1612619098.925437,909,-3.664360523223877
1612619101.3595912,920,-3.7243220806121826
1612619101.8352733,922,-3.6801528930664062
1612619103.2850053,926,-3.6924057006835938
1612619103.7421453,928,-3.6528685092926025
1612619104.6407597,933,-3.72857666015625
1612619106.0021043,940,-3.7220678329467773
1612619106.4469323,941,-3.6782774925231934
1612619106.9017015,945,-3.7136666774749756
1612619107.3435187,945,-3.7222867012023926
1612619110.8954444,963,-3.7394371032714844
1612619111.8350694,965,-3.666806936264038
1612619113.643675,974,-3.671778678894043
1612619115.1176333,978,-3.6842002868652344
1612619115.1236186,981,-3.6842002868652344
1612619115.5636208,981,-3.691480875015259
1612619117.3526826,991,-3.661025047302246
1612619119.254049,997,-3.666186809539795
1612619119.2590358,999,-3.666186809539795
1612619121.535387,1007,-3.609138250350952
1612619121.9811945,1009,-3.6762356758117676
1612619122.875854,1013,-3.7130849361419678
1612619124.7158475,1022,-3.713602304458618
