Wall time,Step,Value
1612695977.1443603,10,-2.9317564964294434
1612695979.8007138,20,-3.3485209941864014
1612695980.8862708,24,-3.2866415977478027
1612695982.368424,30,-3.288278341293335
1612695986.8742967,49,-1.3871593475341797
1612695987.2170486,51,-2.9383437633514404
1612695988.077866,54,-2.888483762741089
1612695988.6378393,56,-3.236933708190918
1612695989.1991112,58,-2.8881263732910156
1612695990.5997362,65,-2.6271255016326904
1612695991.5455167,69,-2.5222725868225098
1612695994.120606,79,-2.9709200859069824
1612695996.041005,86,-2.911313772201538
1612695996.422896,88,-2.5512731075286865
1612695996.9897158,90,-2.496042251586914
1612695996.9897158,91,-2.9561502933502197
1612695998.7167475,96,-2.9379754066467285
1612696001.0550807,104,-2.927640199661255
1612696002.8359373,111,-2.8974695205688477
1612696005.0176437,119,-2.913334608078003
1612696005.8723671,123,-2.8863141536712646
1612696006.4050708,124,-2.921858787536621
1612696008.0444486,131,-2.878962516784668
1612696010.1440413,138,-2.895176887512207
1612696012.199899,146,-2.9154021739959717
1612696013.3372211,151,-2.936842441558838
1612696016.1394436,160,-2.8995935916900635
1612696016.7820902,163,-2.8926351070404053
1612696018.9641988,171,-2.8797059059143066
1612696020.5691442,176,-2.8853917121887207
1612696021.126778,179,-2.9421608448028564
1612696023.743017,188,-2.9149904251098633
1612696023.743017,189,-2.9243202209472656
1612696026.3931007,198,-2.8793258666992188
1612696026.3931007,199,-2.9121644496917725
1612696027.982434,204,-2.886444091796875
1612696028.5132604,206,-2.909536838531494
1612696028.5132604,207,-2.8869924545288086
1612696029.5529492,211,-2.9468393325805664
1612696031.7771707,219,-2.9014670848846436
1612696034.0367296,227,-2.8791420459747314
1612696034.577693,228,-3.0134572982788086
1612696034.577693,229,-2.9359734058380127
1612696035.7609475,233,-2.9160635471343994
1612696039.0707855,244,-2.8848586082458496
1612696040.642862,250,-2.9355669021606445
1612696041.7366931,255,-2.891848087310791
1612696042.7702048,258,-2.914860963821411
1612696046.039993,270,-2.8895697593688965
1612696047.6911747,276,-2.879096746444702
1612696048.7184205,281,-2.884873390197754
1612696049.7564335,284,-2.9032769203186035
1612696050.858192,288,-2.879652261734009
1612696052.1982017,292,-2.942990303039551
1612696052.7618377,294,-2.922041177749634
1612696058.2107549,313,-2.8786325454711914
1612696060.0829325,318,-2.888174057006836
1612696060.0829325,319,-2.99128794670105
1612696061.8604043,324,-2.8810501098632812
1612696063.052102,328,-2.883681297302246
1612696063.052102,329,-2.9141440391540527
1612696063.6750221,331,-2.904306173324585
1612696066.1480417,339,-2.9605770111083984
1612696066.7565362,340,-2.9120733737945557
1612696068.3448675,346,-2.9051713943481445
1612696068.3448675,347,-2.8840887546539307
1612696068.9270825,348,-2.8928775787353516
1612696069.5085292,351,-2.8947906494140625
1612696072.3499908,360,-2.892380475997925
1612696074.507521,368,-2.9473845958709717
1612696078.8189025,384,-2.9775943756103516
1612696079.8872783,388,-2.8794727325439453
1612696081.5755205,394,-2.8802738189697266
1612696082.6120408,398,-2.96047043800354
1612696083.1346347,400,-2.9012486934661865
1612696086.3099737,412,-2.929762840270996
1612696086.3099737,413,-2.898566484451294
1612696090.62,429,-2.8970491886138916
1612696094.0542667,443,-2.8931496143341064
1612696094.582627,444,-2.9151227474212646
1612696095.1124141,446,-2.9153430461883545
1612696096.4500003,453,-2.8799350261688232
1612696098.8139613,463,-2.8790624141693115
1612696099.326611,465,-2.9392714500427246
1612696099.6417665,466,-2.9299631118774414
1612696100.6461256,470,-2.879688262939453
1612696102.1807406,476,-2.9733245372772217
1612696104.3088973,485,-2.944014549255371
1612696105.3386652,488,-2.8973937034606934
1612696105.3386652,489,-2.880143880844116
1612696107.9916008,498,-2.878896951675415
1612696107.9916008,499,-2.8793394565582275
1612696112.2135718,514,-2.891481637954712
1612696112.7590542,516,-2.8988752365112305
