Wall time,Step,Value
1615999881.9358356,759,-0.9318965673446655
1615999988.5033314,2013,-0.9604206085205078
1616000039.713572,2629,-0.9758122563362122
1616000039.7235458,2684,-0.9599999189376831
1616000078.200748,3058,-0.9528045654296875
1616000228.8118255,5082,-0.9530879855155945
1616000279.1768522,5698,-0.9305036664009094
1616000317.8991346,6127,-0.9604999423027039
1616000317.9160895,6204,-0.9626816511154175
1616000358.4856548,6677,-0.9776415824890137
1616000370.9485552,6809,-0.9726635813713074
1616000422.6999426,7480,-0.9706827998161316
1616000497.5027177,8415,-0.8783361315727234
1616000661.7959778,10472,-0.9575386047363281
1616000911.4345236,13662,-0.9673202633857727
1616000911.4434993,13706,-0.9461754560470581
1616000949.273315,14190,-0.9577580690383911
1616000961.7070837,14256,-0.953006386756897
1616000986.9495258,14707,-0.9559981226921082
1616001182.821679,17248,-0.9562679529190063
1616001219.3197794,17677,-0.9465233087539673
1616001219.3247657,17710,-0.9341455698013306
1616001329.7132182,19107,-0.9568206071853638
1616001353.5674334,19514,-0.8949446678161621
1616001452.834563,20691,-0.9391700625419617
1616001577.2718916,22330,-0.9291492700576782
1616001664.3624947,23408,-0.9515554308891296
1616001726.5263765,24222,-0.9591843485832214
1616001801.0541325,25190,-0.8909949064254761
1616001801.056127,25201,-0.911378026008606
1616001813.3392937,25311,-0.9425348043441772
1616001952.8231435,27192,-0.8378845453262329
1616002245.2771883,30723,-0.9076961278915405
1616002404.0590441,32648,-0.7519268989562988
1616002418.0576851,32802,-0.733928382396698
1616002471.8437893,33385,-0.8244592547416687
1616002746.0935001,36509,-0.6707905530929565
1616002746.1024778,36531,-0.8343431353569031
1616002785.5671911,37037,-0.7830007672309875
1616002836.9212573,37752,-0.7844799757003784
1616002902.503799,38478,-0.8016748428344727
1616002902.523746,38555,-0.7089810371398926
1616003015.9463913,39897,-0.6617913842201233
1616003295.9767406,43516,-0.6759086847305298
1616003372.770592,44330,-0.8373481631278992
1616003436.768001,45265,-0.7508302330970764
1616003450.3565497,45430,-0.6693241596221924
1616003595.8296654,47091,-0.7312155365943909
1616003689.8344102,48213,-0.728171169757843
1616003828.9448173,50050,-0.6382442116737366
1616003953.3053837,51689,-0.8188139200210571
1616004128.9647105,53779,-0.732650876045227
1616004128.993634,53933,-0.6478630304336548
1616004419.9951732,57574,-0.6783425807952881
1616004494.414013,58410,-0.6466386914253235
1616004531.9639337,58982,-0.6309922337532043
1616004569.1623547,59400,-0.5141454339027405
1616004630.1658788,60236,-0.566400408744812
