Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:"
1612186382.1899862,12,-2.3906097412109375;;;;;-1.24897511
1612186382.803346,14,-1.5833159685134888;;;;;
1612186385.6310027,24,-1.659698724746704;;;;;
1612186387.2381015,30,-1.8829455375671387;;;;;
1612186387.7497349,32,-1.6380109786987305;;;;;
1612186388.7311115,37,-2.4953434467315674;;;;;
1612186389.2447472,39,-1.6329630613327026;;;;;
1612186389.7144833,41,-1.8846790790557861;;;;;
1612186391.6783786,49,-1.2331018447875977;;;;;
1612186397.2016149,71,-1.51737642288208;;;;;
1612186398.5330577,77,-2.8394503593444824;;;;;
1612186399.2787607,81,-1.127049446105957;;;;;
1612186400.0203214,85,-0.9440305233001709;;;;;
1612186400.4910874,87,-1.5316355228424072;;;;;
1612186401.6070857,91,-0.9665546417236328;;;;;
1612186404.4012327,102,-1.566440224647522;;;;;
1612186404.773422,104,-3.3487067222595215;;;;;
1612186405.3508348,106,-0.9496095180511475;;;;;
1612186405.8601828,108,-1.6210837364196777;;;;;
1612186405.8601828,109,-2.515744686126709;;;;;
1612186409.8515341,124,-1.4039788246154785;;;;;
1612186410.992338,130,-1.1294126510620117;;;;;
1612186412.2932723,136,-2.0691964626312256;;;;;
1612186412.2932723,137,-2.4451262950897217;;;;;
1612186412.6895883,139,-1.1049797534942627;;;;;
1612186413.1510618,141,-1.6148731708526611;;;;;
1612186415.4270513,149,-1.1229175329208374;;;;;
1612186419.4774048,165,-1.0371549129486084;;;;;
1612186419.9553952,166,-2.4903481006622314;;;;;
1612186422.0650766,177,-2.387690544128418;;;;;
1612186425.2477133,191,-2.482936382293701;;;;;
1612186427.0670469,196,-2.4860305786132812;;;;;
1612186427.0670469,197,-2.4915409088134766;;;;;
1612186430.2021842,210,-1.3679783344268799;;;;;
1612186430.8574538,215,-2.4071431159973145;;;;;
1612186431.6975732,219,-1.237151861190796;;;;;
1612186435.1590424,235,-1.0638377666473389;;;;;
1612186436.8417678,240,-1.6261298656463623;;;;;
1612186437.3992264,242,-1.2125489711761475;;;;;
1612186441.0236971,258,-1.0957778692245483;;;;;
1612186441.9264522,262,-1.646474003791809;;;;;
1612186441.9264522,263,-2.519474506378174;;;;;
1612186442.234701,265,-1.0904589891433716;;;;;
1612186444.944043,279,-1.962468147277832;;;;;
1612186447.3611636,289,-1.7132511138916016;;;;;
1612186448.5442924,292,-2.547139883041382;;;;;
1612186449.0145562,294,-1.016217589378357;;;;;
1612186450.3141513,299,-2.4540321826934814;;;;;
1612186452.564149,308,-2.9721906185150146;;;;;
1612186453.1888802,310,-1.7199727296829224;;;;;
1612186454.0546277,315,-2.7892372608184814;;;;;
1612186456.012186,323,-1.0155056715011597;;;;;
1612186456.6900313,325,-1.3177247047424316;;;;;
1612186457.316929,328,-1.3927351236343384;;;;;
1612186458.8560662,334,-1.2788808345794678;;;;;
1612186459.755009,338,-1.340867519378662;;;;;
1612186459.755009,339,-2.5577404499053955;;;;;
1612186460.3155785,341,-2.4088094234466553;;;;;
1612186461.1822672,344,-1.3519487380981445;;;;;
1612186461.1822672,345,-2.7983558177948;;;;;
1612186463.4523864,357,-2.4701783657073975;;;;;
1612186467.6295662,372,-1.215358018875122;;;;;
1612186468.1960819,374,-1.2538446187973022;;;;;
1612186468.6687915,376,-1.089873194694519;;;;;
1612186470.3176587,384,-1.5939867496490479;;;;;
1612186473.4914386,400,-1.008033275604248;;;;;
1612186473.4914386,401,-2.483159303665161;;;;;
1612186474.5604532,405,-0.9622727632522583;;;;;
1612186475.7179484,411,-2.464481830596924;;;;;
1612186477.2119234,416,-1.8077741861343384;;;;;
1612186477.7371697,418,-1.3885270357131958;;;;;
1612186478.0942492,420,-1.0069077014923096;;;;;
1612186478.8709092,425,-1.2480862140655518;;;;;
1612186483.55433,446,-2.4681084156036377;;;;;
1612186486.4783592,458,-1.7842532396316528;;;;;
1612186487.806966,464,-1.5461177825927734;;;;;
1612186488.813151,468,-1.5836138725280762;;;;;
1612186489.1562343,470,-1.0471527576446533;;;;;
1612186489.54275,473,-2.79972767829895;;;;;
1612186491.218271,481,-0.9626497626304626;;;;;
1612186492.9460225,488,-2.4085543155670166;;;;;
1612186493.2432282,491,-1.0095733404159546;;;;;
1612186495.6138904,500,-1.6488120555877686;;;;;
1612186500.319918,521,-1.1217997074127197;;;;;
1612186501.7638457,527,-1.172762155532837;;;;;
1612186502.0541017,528,-2.4643309116363525;;;;;
1612186503.5450845,536,-1.727022409439087;;;;;
1612186504.0537252,538,-1.2591993808746338;;;;;
1612186505.4200733,544,-1.1002933979034424;;;;;
1612186505.4200733,545,-2.4638116359710693;;;;;
1612186505.964645,547,-2.4062790870666504;;;;;
1612186507.3419602,552,-1.3454757928848267;;;;;
1612186509.3052516,562,-1.2903380393981934;;;;;
1612186509.8268359,564,-1.5622544288635254;;;;;
1612186510.1487663,566,-1.7020459175109863;;;;;
1612186511.8761933,575,-0.9401228427886963;;;;;
1612186512.2217963,576,-2.4445745944976807;;;;;
1612186512.550946,578,-1.1150678396224976;;;;;
1612186513.7208066,584,-1.0716499090194702;;;;;
1612186516.91622,601,-1.08306884765625;;;;;
1612186517.4692774,603,-2.3987395763397217;;;;;
1612186519.6075494,612,-3.2671899795532227;;;;;
1612186521.7857437,624,-1.169954776763916;;;;;
1612186522.153726,626,-1.6047091484069824;;;;;
1612186524.0137532,637,-1.4971485137939453;;;;;
1612186525.1896455,643,-1.9892692565917969;;;;;
1612186527.0486417,650,-1.4877698421478271;;;;;
1612186528.5725684,658,-1.665144681930542;;;;;
1612186529.4771748,662,-1.2208235263824463;;;;;
1612186531.1098034,670,-3.003241777420044;;;;;
1612186531.5695863,672,-1.092260718345642;;;;;
1612186532.1101122,674,-1.1085765361785889;;;;;
1612186532.5858402,676,-2.4543914794921875;;;;;
1612186534.5436077,686,-1.3916773796081543;;;;;
1612186536.3936634,694,-2.408808946609497;;;;;
1612186536.6918662,696,-1.1205837726593018;;;;;
1612186536.985082,698,-0.9919028282165527;;;;;
1612186542.473081,724,-1.447454571723938;;;;;
1612186545.5002801,738,-1.1131559610366821;;;;;
1612186547.712367,749,-1.6330842971801758;;;;;
1612186548.1572096,751,-1.5903184413909912;;;;;
1612186548.9830148,755,-1.124192714691162;;;;;
1612186549.9783103,759,-1.7186262607574463;;;;;
1612186551.5720544,767,-1.5984158515930176;;;;;
1612186555.1613321,784,-1.1320109367370605;;;;;
1612186556.0090668,788,-1.121103048324585;;;;;
1612186556.3371894,790,-1.0570154190063477;;;;;
1612186557.241758,795,-1.3690168857574463;;;;;
1612186559.715971,806,-1.0002589225769043;;;;;
1612186563.0411143,820,-2.455944061279297;;;;;
1612186563.351256,822,-1.2092316150665283;;;;;
1612186564.6516118,828,-3.242410659790039;;;;;
1612186564.9991899,830,-1.03782320022583;;;;;
1612186568.2415738,846,-1.3008626699447632;;;;;
1612186568.7023687,848,-1.2193067073822021;;;;;
1612186572.9990046,869,-1.612292766571045;;;;;
1612186574.2533092,875,-1.0953623056411743;;;;;
1612186574.7958593,876,-2.5376269817352295;;;;;
1612186575.1359513,879,-2.449384927749634;;;;;
1612186576.2270336,883,-1.3632020950317383;;;;;
1612186581.2803454,909,-1.2244031429290771;;;;;
1612186583.784309,918,-1.6152335405349731;;;;;
1612186584.7503884,922,-1.0101847648620605;;;;;
1612186586.1017592,928,-1.4307019710540771;;;;;
1612186586.4318764,931,-2.4816200733184814;;;;;
1612186588.792566,941,-1.2603089809417725;;;;;
1612186589.091814,943,-3.2408812046051025;;;;;
1612186591.6285775,954,-0.9795403480529785;;;;;
1612186592.650844,958,-1.524207592010498;;;;;
1612186593.097682,960,-1.6841078996658325;;;;;
1612186594.1024926,964,-1.4987848997116089;;;;;
