Wall time,Step,Value;;;;"Average Reward; Last 50 Episodes:";
1612190628.000907,14,-1.2100884914398193;;;;-1.160726742;
1612190630.9391005,34,-1.2004295587539673;;;;;
1612190631.793475,40,-1.1480554342269897;;;;;
1612190633.5697389,52,-1.1906592845916748;;;;;
1612190637.206548,76,-1.0926530361175537;;;;;
1612190638.3699892,84,-1.0514209270477295;;;;;
1612190638.9492211,88,-1.1454302072525024;;;;;
1612190639.508656,92,-1.1807951927185059;;;;;
1612190639.812342,94,-1.0511780977249146;;;;;
1612190640.579308,98,-1.1661102771759033;;;;;
1612190643.0763483,110,-1.1484464406967163;;;;;
1612190643.52918,112,-1.0175741910934448;;;;;
1612190644.0803182,114,-1.0143823623657227;;;;;
1612190644.0803182,115,-2.459092378616333;;;;;
1612190647.6951563,128,-2.424421787261963;;;;;
1612190649.4492934,135,-2.435295343399048;;;;;
1612190649.9300091,136,-2.4196617603302;;;;;
1612190649.9300091,137,-2.4352314472198486;;;;;
1612190650.5094814,139,-1.1128864288330078;;;;;
1612190652.891603,146,-2.459535598754883;;;;;
1612190655.8542857,156,-2.4042744636535645;;;;;
1612190658.1765394,164,-2.4446184635162354;;;;;
1612190661.100266,175,-1.1012437343597412;;;;;
1612190662.3242064,178,-2.4067604541778564;;;;;
1612190662.926246,180,-1.118106722831726;;;;;
1612190665.3191612,188,-2.456545114517212;;;;;
1612190667.1372507,195,-1.0967726707458496;;;;;
1612190670.1352503,205,-1.0699694156646729;;;;;
1612190671.9883878,210,-1.0970350503921509;;;;;
1612190672.5753236,212,-1.1064345836639404;;;;;
1612190676.0915265,224,-2.4585506916046143;;;;;
1612190676.5603476,227,-2.4004883766174316;;;;;
1612190677.3233967,229,-1.1409553289413452;;;;;
1612190680.210233,238,-1.0800557136535645;;;;;
1612190681.919981,245,-1.0955331325531006;;;;;
1612190683.3040457,249,-1.1290152072906494;;;;;
1612190683.8835561,250,-2.446082353591919;;;;;
1612190685.6796205,256,-2.4511308670043945;;;;;
1612190687.385233,262,-1.1101393699645996;;;;;
1612190687.385233,263,-2.467700242996216;;;;;
1612190688.4917243,266,-2.4016051292419434;;;;;
1612190690.1697302,273,-2.3982110023498535;;;;;
