Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes"
1612270037.1819313,13,-1.8126699924468994;;;;;-1.176690393
1612270040.021343,24,-1.789125919342041;;;;;
1612270041.5053754,30,-1.7641685009002686;;;;;
1612270042.069866,32,-1.3836493492126465;;;;;
1612270043.1282094,38,-1.3177645206451416;;;;;
1612270045.1906962,49,-2.5574729442596436;;;;;
1612270050.3968055,70,-2.437096118927002;;;;;
1612270051.8977838,77,-0.9700619578361511;;;;;
1612270052.4423468,79,-2.4686198234558105;;;;;
1612270053.357867,82,-1.4496650695800781;;;;;
1612270053.8426044,84,-1.370684266090393;;;;;
1612270054.6913023,88,-1.9433314800262451;;;;;
1612270057.2717175,98,-1.6711621284484863;;;;;
1612270057.731452,100,-1.754903793334961;;;;;
1612270058.0617952,102,-1.7587895393371582;;;;;
1612270058.4138913,104,-1.6004111766815186;;;;;
1612270061.60636,121,-1.4240219593048096;;;;;
1612270063.2097695,127,-1.269642949104309;;;;;
1612270064.822616,132,-1.5715935230255127;;;;;
1612270065.3011925,134,-1.0740439891815186;;;;;
1612270065.672482,136,-1.0147879123687744;;;;;
1612270065.9576879,138,-1.3035587072372437;;;;;
1612270067.8643007,146,-1.4004290103912354;;;;;
1612270071.5153468,162,-1.3269531726837158;;;;;
1612270071.5153468,163,-2.428926706314087;;;;;
1612270074.2971287,174,-1.9322482347488403;;;;;
1612270078.0837195,190,-1.6793707609176636;;;;;
1612270079.040164,195,-1.7480456829071045;;;;;
1612270079.4809847,197,-1.6686744689941406;;;;;
1612270082.6711957,210,-1.0300428867340088;;;;;
1612270084.104548,217,-2.521822690963745;;;;;
1612270086.753147,229,-2.4397687911987305;;;;;
1612270088.0915685,235,-1.4270901679992676;;;;;
1612270088.5672987,237,-1.4586987495422363;;;;;
1612270092.6025403,254,-2.487734079360962;;;;;
1612270093.249811,258,-1.0124952793121338;;;;;
1612270093.249811,259,-2.4070069789886475;;;;;
1612270093.7185564,261,-1.1345359086990356;;;;;
1612270097.3891368,275,-1.6838304996490479;;;;;
1612270099.9413216,285,-1.9793888330459595;;;;;
1612270100.9615846,289,-1.7334133386611938;;;;;
1612270101.5410612,291,-1.9582017660140991;;;;;
1612270103.6362343,299,-1.8725197315216064;;;;;
1612270106.484372,309,-1.8458621501922607;;;;;
1612270107.058837,311,-1.6358369588851929;;;;;
1612270108.3829036,317,-1.2761609554290771;;;;;
1612270111.483075,329,-1.5428287982940674;;;;;
1612270112.0713975,331,-1.848999261856079;;;;;
1612270113.1973586,335,-1.7255275249481201;;;;;
1612270114.6045408,341,-1.4926273822784424;;;;;
1612270115.6153822,345,-1.5561144351959229;;;;;
1612270116.3689098,347,-1.9147980213165283;;;;;
1612270117.0830472,350,-1.3062360286712646;;;;;
1612270118.0611992,354,-1.0607309341430664;;;;;
1612270118.7257729,356,-0.9642335176467896;;;;;
1612270122.1438725,370,-1.9170982837677002;;;;;
1612270125.1116688,384,-1.8163983821868896;;;;;
1612270125.1126513,385,-2.4072492122650146;;;;;
1612270125.5857666,387,-1.6556129455566406;;;;;
1612270127.5117667,395,-1.7475810050964355;;;;;
1612270132.821105,412,-1.5344657897949219;;;;;
1612270133.4953015,414,-1.6597058773040771;;;;;
1612270134.1335962,417,-2.496378183364868;;;;;
1612270136.9650273,425,-1.6439471244812012;;;;;
1612270138.550029,431,-1.5655303001403809;;;;;
1612270139.1783504,433,-1.8654255867004395;;;;;
1612270139.7009835,434,-2.435541868209839;;;;;
1612270141.434321,440,-1.6859201192855835;;;;;
1612270146.3150363,461,-1.9921088218688965;;;;;
1612270150.0418088,473,-1.6286273002624512;;;;;
1612270151.2744904,478,-1.1139051914215088;;;;;
1612270152.2299361,482,-1.8346142768859863;;;;;
1612270152.6877115,484,-1.6979234218597412;;;;;
1612270153.1325452,487,-1.851879358291626;;;;;
1612270155.100394,495,-1.2762424945831299;;;;;
1612270157.2243264,503,-1.6524937152862549;;;;;
1612270158.1259077,507,-1.2953393459320068;;;;;
1612270160.4706507,517,-3.055854082107544;;;;;
1612270166.1944258,541,-2.5031468868255615;;;;;
1612270168.1923804,549,-1.1281681060791016;;;;;
1612270168.484566,550,-2.506409168243408;;;;;
1612270170.2608502,558,-1.5290803909301758;;;;;
1612270170.7465851,560,-1.1897218227386475;;;;;
1612270172.4709802,568,-1.5605088472366333;;;;;
1612270172.7581928,570,-1.072068452835083;;;;;
1612270173.3625672,574,-1.4400925636291504;;;;;
1612270174.3000631,579,-2.7959866523742676;;;;;
1612270176.598963,589,-1.6675161123275757;;;;;
1612270177.066669,590,-2.4074184894561768;;;;;
1612270177.36986,592,-1.3274829387664795;;;;;
1612270179.287413,600,-1.217867374420166;;;;;
1612270179.6404586,602,-1.2871627807617188;;;;;
1612270179.6404586,603,-2.477344274520874;;;;;
1612270180.8033855,608,-3.7079012393951416;;;;;
1612270184.1937385,625,-1.195316195487976;;;;;
