Wall time,Step,Value;;;;;"Average Reward; Last 50 Episodes:";
1612280715.2806163,21,-1.1014302968978882;;;;;-1.219503876;
1612280717.7260299,32,-1.8297433853149414;;;;;;
1612280719.9315498,40,-1.2735806703567505;;;;;;
1612280719.9315498,44,-1.5812349319458008;;;;;;
1612280722.0708315,54,-2.4514594078063965;;;;;;
1612280726.474115,77,-1.6293245553970337;;;;;;
1612280728.6981611,85,-1.9635961055755615;;;;;;
1612280728.699184,89,-1.8023847341537476;;;;;;
1612280730.9223685,93,-1.9020634889602661;;;;;;
1612280730.9223685,94,-2.4176387786865234;;;;;;
1612280730.9233763,98,-1.1406292915344238;;;;;;
1612280733.0286171,107,-1.1749744415283203;;;;;;
1612280733.0286171,109,-1.1610443592071533;;;;;;
1612280735.7329228,111,-1.8075857162475586;;;;;;
1612280735.733919,113,-3.1689677238464355;;;;;;
1612280738.2491262,128,-1.9015235900878906;;;;;;
1612280740.5688493,133,-3.438445568084717;;;;;;
1612280740.5688493,138,-1.5559816360473633;;;;;;
1612280742.8180258,140,-1.8633604049682617;;;;;;
1612280742.8180258,142,-1.5727441310882568;;;;;;
1612280742.8180258,144,-1.3922464847564697;;;;;;
1612280745.5260437,153,-1.9051481485366821;;;;;;
1612280748.7867103,167,-2.4120919704437256;;;;;;
1612280753.269024,180,-1.1637403964996338;;;;;;
1612280755.5381706,194,-2.8109002113342285;;;;;;
1612280757.9024081,200,-1.6834449768066406;;;;;;
1612280757.9024081,202,-0.9793873429298401;;;;;;
1612280759.9603822,215,-1.089794397354126;;;;;;
1612280762.2981684,225,-1.4007625579833984;;;;;;
1612280764.7372174,238,-1.9345126152038574;;;;;;
1612280766.797844,243,-3.600865602493286;;;;;;
1612280766.797844,245,-0.9779671430587769;;;;;;
1612280772.4771938,263,-1.9604089260101318;;;;;;
1612280772.4771938,266,-1.0964256525039673;;;;;;
1612280772.4771938,267,-2.456432342529297;;;;;;
1612280772.4771938,269,-1.4763352870941162;;;;;;
1612280776.5543575,282,-1.1679432392120361;;;;;;
1612280778.8172982,292,-1.6835370063781738;;;;;;
1612280778.8172982,296,-1.6369305849075317;;;;;;
1612280778.8172982,298,-1.0300509929656982;;;;;;
1612280781.2000628,305,-1.4064680337905884;;;;;;
1612280783.8112402,314,-1.024571418762207;;;;;;
1612280783.8112402,316,-1.1282683610916138;;;;;;
1612280786.7380211,321,-2.422820568084717;;;;;;
1612280789.2890546,333,-2.9985032081604004;;;;;;
1612280789.2890546,335,-1.2145400047302246;;;;;;
1612280789.2890546,337,-2.4910404682159424;;;;;;
1612280791.8898063,343,-3.427070140838623;;;;;;
1612280791.8898063,346,-1.7085351943969727;;;;;;
1612280791.8908355,348,-1.0480468273162842;;;;;;
1612280794.0059876,351,-2.4793336391448975;;;;;;
1612280794.0059876,355,-1.046661138534546;;;;;;
1612280794.0059876,357,-1.5421209335327148;;;;;;
1612280799.0369382,370,-1.4898653030395508;;;;;;
1612280801.577556,385,-1.4389985799789429;;;;;;
1612280801.577556,387,-1.8234626054763794;;;;;;
1612280801.577556,388,-2.4157307147979736;;;;;;
1612280804.4687133,395,-1.0278910398483276;;;;;;
1612280809.905873,414,-1.5725438594818115;;;;;;
