Wall time,Step,Value
1612459721.0501623,57,-2.8660366535186768
1612459722.1352925,61,-2.7223663330078125
1612459730.6317954,91,-2.7592358589172363
1612459737.7207582,119,-2.7679362297058105
1612459758.510218,196,-3.2467358112335205
1612459761.080356,207,-3.9941000938415527
1612459781.5681407,284,-1.9710270166397095
1612459783.1942637,290,-2.823143720626831
1612459790.4144487,318,-2.707354784011841
1612459795.6848276,338,-2.776061534881592
1612459807.8056984,385,-3.2959978580474854
1612459808.3243103,387,-2.4677722454071045
1612459811.0570278,396,-2.727341413497925
1612459846.7683628,526,-2.437497138977051
1612459860.023563,576,-3.769007682800293
1612459865.0846457,596,-2.467547655105591
1612459884.615339,670,-1.7650840282440186
1612459891.731896,701,-2.75441312789917
1612459897.4001973,722,-2.710407018661499
1612459899.4885988,731,-2.434542655944824
1612459914.41233,788,-1.7240276336669922
1612459918.298639,804,-1.4940476417541504
1612459922.358619,821,-2.822721004486084
1612459925.952999,834,-1.8145668506622314
1612459939.1250925,887,-3.1460628509521484
1612459941.757668,897,-2.149174690246582
1612459956.7476978,959,-2.8250486850738525
1612459961.0781286,977,-2.480736255645752
1612459966.795103,999,-2.8561460971832275
1612459968.894786,1006,-2.613663673400879
1612459977.3058598,1041,-2.7321600914001465
1612460009.0378752,1165,-2.768829584121704
1612460016.096142,1193,-2.4664835929870605
1612460026.3467886,1235,-2.472270965576172
1612460029.5603235,1246,-2.4655086994171143
1612460044.091405,1303,-2.8203141689300537
1612460045.0533698,1306,-2.469992160797119
1612460056.5476859,1353,-2.4244487285614014
1612460078.9781024,1440,-3.226332187652588
1612460104.2557452,1538,-3.246690273284912
1612460120.97958,1605,-2.4529078006744385
1612460122.4885466,1610,-2.44956374168396
1612460126.9337385,1629,-2.635183095932007
1612460127.886187,1633,-2.4468791484832764
1612460142.7196703,1693,-2.51297664642334
1612460144.9267392,1700,-2.481921911239624
1612460157.6761057,1753,-2.90736722946167
1612460167.2702634,1789,-2.558945894241333
1612460185.7792742,1858,-2.4081146717071533
1612460195.8300357,1897,-2.067294120788574
1612460201.3969617,1918,-2.721883773803711
1612460206.9808264,1939,-2.4304392337799072
1612460223.3092546,2003,-2.927450180053711
1612460241.417397,2068,-2.987628936767578
1612460247.6187556,2091,-3.0244381427764893
1612460250.444014,2102,-2.7729310989379883
1612460256.1896873,2122,-2.6059610843658447
1612460256.7356849,2124,-2.792414665222168
1612460257.2912462,2127,-2.4675698280334473
1612460273.6310596,2183,-2.452756404876709
1612460299.4827182,2261,-2.4637060165405273
1612460303.2098844,2272,-1.7631393671035767
1612460307.9286199,2288,-2.419168472290039
1612460308.4881222,2291,-2.426069736480713
